CLOSURE,CONTAM_ADV,Station_Name,Latitude_DD,Longitude_DD,Beach_Name,Municipality,County_Name,Tot_actions
1.0,,OC1544,39.5746705085,-74.2260334635,21st St,Long Beach Township,Ocean,
1.0,,OC1545,39.5723100832,-74.2275753542,17th St,Long Beach Township,Ocean,
1.0,,OC1546,39.7491135981,-74.1037909264,15th St,Barnegat Light Borough,Ocean,
1.0,,OC1547,39.7470862973,-74.1068604311,19th St,Barnegat Light Borough,Ocean,
1.0,,OC1548,39.7391210303,-74.1140607126,30th St,Barnegat Light Borough,Ocean,
1.0,,OC1549,39.6694146932,-74.1568265209,1005 LB Blvd,Long Beach Township,Ocean,
1.0,,OC1550,39.6720725138,-74.1551034423,1023 LB Blvd,Long Beach Township,Ocean,
1.0,,OC1551,39.675444094,-74.1525804493,1049 LB Blvd,Long Beach Township,Ocean,
1.0,,OC1552,39.6771784317,-74.1513046654,1065 LB Blvd,Long Beach Township,Ocean,
1.0,,OC1553,39.6797542237,-74.1493043221,1087 LB Blvd,Long Beach Township,Ocean,
1.0,,OC1554,39.6834376293,-74.146563183,1119 LB Blvd,Long Beach Township,Ocean,
1.0,,OC1555,39.7249482722,-74.1226641084,85 LB Blvd,Long Beach Township,Ocean,
1.0,,OC1556,39.7271113519,-74.1214935209,199 LB Blvd,Long Beach Township,Ocean,
1.0,,OC1557,39.6060748138,-74.2037617215,86th St,Long Beach Township,Ocean,
1.0,,OC1558,39.5884894829,-74.2168367076,Ramapo Ave,Long Beach Township,Ocean,
1.0,,OC1559,39.5616106539,-74.2351606995,Center St,Beach Haven Borough,Ocean,
1.0,,OC1560,39.5949111166,-74.2121306545,110th St,Long Beach Township,Ocean,
