Station_Name,Latitude_DD,Longitude_DD
MC1187SN1,40.3675098000,-73.9720955100
MC1187SS1,40.3665948700,-73.9719067200
MC1197S,40.2133290000,-74.0012660000
MC1198S,40.2369636855,-73.9930742586
MC1199,40.2907222328,-73.9799263722
MC1200,40.2920984605,-73.9795053609
MC1201,40.1880589326,-74.0084349448
MC1300,40.1816360000,-74.0104830000
MC1301,40.1662470000,-74.0164604000
OC0023,39.9733782989,-74.0722734102
OC0023N1,39.9737850908,-74.0721995112
OC0023S1,39.9730801508,-74.0726398896
OC0036,39.9455410455,-74.0798571683
OC0036N1,39.9459477496,-74.0799323691
OC0036S1,39.9451196085,-74.0799145114
OC0055,39.7044427761,-74.1373322277
OC0069,39.6492312454,-74.1856893178
OC0069N1,39.6496415961,-74.1857105870
OC0069S1,39.6488267278,-74.1857867210
OC0073,39.6160172318,-74.2014946481
OC0073N1,39.6164096300,-74.2014115000
OC0073S1,39.6156932246,-74.2018210882
OC0077,39.5879811366,-74.2285836916
OC0077N1,39.5881881000,-74.2284577200
OC0077S1,39.5877474200,-74.2287784500
OC0083,39.5365700000,-74.2634360000
OC0103,40.0563945061,-74.1116547167
OC0103N1,40.0566075900,-74.1120030500
OC0103S1,40.0563009600,-74.1111519900
OC0109,40.0887136876,-74.0712972273
OC0109E1,40.0885030297,-74.0708373110
OC0109W1,40.0888207708,-74.0718127669
OC0110,40.0887777602,-74.0729955535
OC0110E1,40.0887872018,-74.0724605315
OC0110W1,40.0886769527,-74.0735132821
